ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,AGE_YEARS,EMPLOYMENT_YEARS,IS_UNEMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,TARGET,WORST_STATUS,MONTHS_HISTORY
5008804,1,1,1,0,427500.0,4,1,0,4,32.9,12.4,True,1,1,0,0,12,2.0,1,1,16
5008805,1,1,1,0,427500.0,4,1,0,4,32.9,12.4,True,1,1,0,0,12,2.0,1,1,15
5008806,1,1,1,0,112500.0,4,4,1,1,58.8,3.1,True,1,0,0,0,17,2.0,1,0,30
5008808,0,0,1,0,270000.0,0,4,3,1,52.3,8.4,True,1,0,1,1,15,1.0,1,0,5
5008809,0,0,1,0,270000.0,0,4,3,1,52.3,8.4,True,1,0,1,1,15,1.0,1,-1,5
5008810,0,0,1,0,270000.0,0,4,3,1,52.3,8.4,True,1,0,1,1,15,1.0,1,0,27
5008811,0,0,1,0,270000.0,0,4,3,1,52.3,8.4,True,1,0,1,1,15,1.0,1,0,39
5008812,0,0,1,0,283500.0,1,1,2,1,61.5,0.0,False,1,0,0,0,12,1.0,1,0,17
5008813,0,0,1,0,283500.0,1,1,2,1,61.5,0.0,False,1,0,0,0,12,1.0,1,0,17
5008814,0,0,1,0,283500.0,1,1,2,1,61.5,0.0,False,1,0,0,0,12,1.0,1,0,17
5008815,1,1,1,0,270000.0,4,1,1,1,46.2,2.1,True,1,1,1,1,0,2.0,1,0,6
5112956,1,1,1,0,270000.0,4,1,1,1,46.2,2.1,True,1,1,1,1,0,2.0,1,0,43
5008819,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,-1,8
5008820,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,0,9
5008821,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,0,9
5008822,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,0,9
5008823,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,0,5
5008824,1,1,1,0,135000.0,0,4,1,1,48.7,3.3,True,1,0,0,0,8,2.0,1,0,4
5008825,0,1,0,0,130500.0,4,2,1,1,29.2,3.0,True,1,0,0,0,0,2.0,1,1,26
5008826,0,1,0,0,130500.0,4,2,1,1,29.2,3.0,True,1,0,0,0,0,2.0,1,1,30
5008830,0,0,1,0,157500.0,4,4,1,1,27.5,4.0,True,1,0,1,0,8,2.0,1,1,32
5008831,0,0,1,0,157500.0,4,4,1,1,27.5,4.0,True,1,0,1,0,8,2.0,1,1,20
5008832,0,0,1,0,157500.0,4,4,1,1,27.5,4.0,True,1,0,1,0,8,2.0,1,1,35
5008834,0,0,1,1,112500.0,4,4,3,1,30.0,4.4,True,1,0,0,0,12,2.0,1,0,45
5008835,0,0,1,1,112500.0,4,4,3,1,30.0,4.4,True,1,0,0,0,12,2.0,1,0,17
5008836,1,1,1,3,270000.0,4,4,1,1,34.7,3.2,True,1,0,0,0,8,5.0,1,0,17
5008837,1,1,1,3,270000.0,4,4,1,1,34.7,3.2,True,1,0,0,0,8,5.0,1,0,17
5008838,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,31
5008839,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,14
5008840,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,56
5008841,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,5
5008842,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,9
5008843,1,0,1,1,405000.0,0,1,1,1,32.4,5.5,True,1,0,0,0,10,3.0,1,0,30
5008844,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,33
5008846,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,12
5008847,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,33
5008849,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,12
5008850,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,26
5008851,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,12
5008852,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,1
5008853,1,1,1,0,112500.0,0,4,1,1,56.1,12.2,True,1,0,1,0,4,2.0,1,0,16
5008854,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,2
5008855,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,29
5008856,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,4
5008857,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,-1,28
5008858,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,11
5008859,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,5
5008860,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,4
5008861,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,4
5008862,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,3
5008863,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,2
5008864,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,3
5008865,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,2
5008866,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,2
5008867,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,0,4
5112846,0,1,1,2,135000.0,4,4,1,1,43.2,8.7,True,1,0,0,0,8,4.0,1,-1,4
5008868,0,0,1,1,211500.0,2,4,0,1,44.4,19.4,True,1,0,0,0,3,3.0,1,0,25
5008870,0,0,1,1,211500.0,2,4,0,1,44.4,19.4,True,1,0,0,0,3,3.0,1,0,12
5008872,1,1,1,0,360000.0,0,4,1,1,45.6,14.7,True,1,0,1,0,17,2.0,1,1,11
5008873,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,22
5008874,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,46
5008875,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,40
5008876,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,44
5008877,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,8
5008878,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,1,12
5008879,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,22
5008880,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,11
5008881,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,20
5008882,0,0,1,2,126000.0,0,1,1,1,34.0,4.9,True,1,0,0,1,10,4.0,1,0,40
5008884,0,0,1,0,315000.0,1,4,4,1,55.3,0.0,False,1,0,0,0,12,1.0,1,0,41
5008888,0,0,1,0,247500.0,0,1,2,4,46.6,3.7,True,1,0,0,0,3,1.0,1,0,6
5008889,0,0,1,0,247500.0,0,1,2,4,46.6,3.7,True,1,0,0,0,3,1.0,1,0,5
5008890,0,0,1,0,247500.0,0,1,2,4,46.6,3.7,True,1,0,0,0,3,1.0,1,0,6
5112847,0,0,1,0,247500.0,0,1,2,4,46.6,3.7,True,1,0,0,0,3,1.0,1,0,6
5008891,0,0,1,0,297000.0,0,4,3,4,42.5,8.9,True,1,0,0,0,8,1.0,1,0,8
5008892,0,0,1,0,297000.0,0,4,3,4,42.5,8.9,True,1,0,0,0,8,1.0,1,0,16
